"","D-Sas4_1","D-Sas4_2","D-Sas4_3","D-Ssas6_1","D-Ssas6_2","D-Ssas6_3","SakOE_1","SakOE_2","SakOE_3","w67WT_1","w67WT_2","w67WT_3","OregonRWT_1","OregonRWT_2","OregonRWT_3"
"CG9279",6.061936458,5.945244368,5.960758004,2.262842638,2.264124135,2.264124135,5.740159196,5.823733279,5.746493257,2.624371785,3.043539568,2.880395492,3.506913772,3.477830728,3.350291324
"Shal",3.378098634,3.14637191,3.574816064,4.633491726,4.722558374,5.074993166,3.836097389,4.051963932,4.080102603,5.070056094,5.106914648,5.100317347,5.091676359,6.03422335,4.125374515
"wnd",8.828267622,8.877790024,8.915311129,9.934794081,9.888251951,9.964497622,9.947955122,9.788381635,9.836476894,10.00393187,10.24114384,10.05266221,9.94772106,9.919526132,10.01896347
"Oat",8.437352637,7.977414594,7.810914779,5.393479423,5.674462266,5.68191036,8.146637715,8.113548038,8.105198495,5.82227258,5.99759909,5.7134536,5.761003818,4.619358776,5.288444118
"Ir76a",3.805034261,5.336847119,4.926965181,9.040942257,8.797651714,8.928481189,8.910407908,8.887074553,8.75568218,8.816880667,9.042149799,8.70447526,8.81376976,8.926009722,8.912467191
"Gabat",3.177937836,3.408059012,3.387435359,3.304329262,2.976848069,3.270735947,5.835199821,5.976915399,5.835882191,3.304837624,3.348128396,3.361932014,3.644808269,3.674434109,3.685037179
"CG7328",3.646624823,4.022758013,4.152815566,5.725293144,5.735375048,5.791055033,4.050582537,4.195677713,4.226318229,5.365176044,4.978276552,5.352274413,4.786880399,5.66216692,5.673679276
"CG42674",5.416767782,5.177972111,5.335763757,2.37845138,2.293028016,2.231045663,2.700115862,2.870942679,2.995876416,3.77728694,3.625246963,2.629765998,2.811234223,3.090153857,2.994346854
"CG5618",7.440605005,7.865919407,7.416420954,7.770377449,7.731347713,7.705462688,9.695552725,9.729219542,9.719301665,7.31407618,7.803364926,7.831663043,7.315734069,7.658206178,7.466907217
"atk",4.451370557,4.422484756,4.508100915,3.727553872,3.958572982,3.676804533,3.234481323,2.72511509,2.855022728,4.458517838,4.458517838,4.846652331,4.043806982,3.933471273,4.049249659
"CG5955",5.576186326,6.14316646,5.603710349,5.756020888,4.641479698,5.64047484,5.469712947,4.390049613,3.671190781,5.585095214,5.664515688,6.24610924,5.980084144,5.366174106,5.868691061
"CG32425",4.120192316,4.309850134,4.08242417,4.22026558,4.204527757,4.555961657,3.126839189,3.47088102,3.339783666,4.108765962,4.111203827,4.106190231,4.538108203,4.31553435,4.457365558
"CG11399",9.160933811,9.366634729,9.265494026,8.847398257,8.925034373,8.860169157,7.953749581,7.849174571,7.865073523,9.222381086,9.248604497,8.978550969,9.088364851,9.042697326,9.082856147
"Eip78C",6.368435143,5.823787202,6.26478398,7.262364047,7.256510443,6.753052529,6.98142828,7.31724178,7.654788479,7.615330326,7.246149363,7.34205415,7.592786084,7.661561186,7.47007873
"Glg1",7.980838732,7.699757329,8.076073925,6.778956526,6.936676784,6.984101035,7.399136942,7.75850413,7.704755249,7.44075723,6.767318807,7.312156141,7.036939327,6.695657368,6.813005529
"CG7173",3.449012806,3.27831394,3.176167929,4.235011988,4.864336992,5.21461601,2.373460824,2.339382521,2.481079261,3.399768246,3.554928463,5.0043044,5.219227545,4.071193374,4.709331866
