"","D-Sas4_1","D-Sas4_2","D-Sas4_3","D-Ssas6_1","D-Ssas6_2","D-Ssas6_3","SakOE_1","SakOE_2","SakOE_3","w67WT_1","w67WT_2","w67WT_3","OregonRWT_1","OregonRWT_2","OregonRWT_3"
"1638805_at",3.248762826,3.365601874,3.365601874,2.567485628,2.610442578,2.580232537,3.778912925,3.708861578,3.838269436,3.50564418,3.48524609,3.365601874,2.869403142,3.063557595,2.925683185
"1640854_at",5.189637814,4.087253079,4.503815952,3.158360563,3.154884098,3.22535598,2.557705505,2.648275874,2.873126163,3.7997531,3.537381164,4.254846959,3.068794167,3.23556103,3.164837907
"1640913_at",5.718522468,6.039184406,5.923814271,4.937241551,4.646138147,4.644759111,4.780635048,5.159167486,5.009367955,5.395562922,5.913765343,6.602177787,5.571463583,5.608934181,5.253455592
"1627558_at",4.663498504,4.772519374,5.098978803,7.621379416,7.33573044,7.826493746,7.59369229,7.495892863,7.417931462,7.443261367,7.616104829,7.790388829,7.704127011,7.759180723,7.583342766
"1632770_at",6.880390019,6.430462283,6.89776376,7.905916125,7.861856275,7.443522756,6.249324778,6.341943891,6.3905703,6.355958532,6.028939856,6.525596618,6.157908633,6.261228455,6.205901916
"1626943_at",3.835285801,3.717328728,3.842235167,3.345421646,3.35282073,3.35282073,3.320662201,3.358481483,3.241168241,3.927777056,4.01666891,3.843685677,3.24491308,3.245594883,3.365277703
"1640965_at",6.287963909,6.554047491,6.362835326,6.122770764,6.102827602,6.154407413,6.239644549,6.520977751,6.420502167,6.241084436,6.127488899,6.296381949,6.464033579,6.424303818,6.383776563
"1626984_at",6.229117374,6.717978434,6.680485589,5.97377249,5.898799787,6.26288343,5.40250855,5.479497841,5.319204128,6.370954004,6.655799683,6.353796893,6.378811146,5.669431584,5.720038536
"1623444_at",4.642377743,5.091422061,5.23576665,4.39490938,4.372699436,4.109656317,4.592154764,4.610100256,4.651295645,5.146632546,4.528426723,5.380002029,4.447999587,4.451541284,4.408623185
"1626350_at",2.840340015,2.302199886,2.315181929,2.384553781,2.413983392,2.629433934,2.317111688,2.306747374,3.079809241,2.301320416,2.301320416,2.304814024,2.664439877,2.34152177,2.614557595
"1639001_a_at",2.995287787,3.469798434,3.139412722,2.285661014,2.26642001,2.278399706,2.977760997,2.496083304,2.510027153,2.821609863,2.925894365,3.783383946,3.112581338,3.049638921,2.955649637
"1633624_s_at",5.504142419,5.253106106,5.468998216,5.273125809,5.345184931,5.188937822,5.065636609,5.015543969,4.92032897,5.831449698,5.42339004,5.474271707,5.662821311,5.54739833,5.543608831
"1632997_at",5.372986687,5.466658466,5.819952742,5.327117574,5.023481168,4.859421991,5.379877377,5.430435839,5.411985606,5.499358692,5.121435485,5.713946603,5.290309952,5.464933639,5.279715134
"1630038_at",2.981500503,3.715078243,3.406237399,2.295010225,2.296394665,2.500724481,2.369696954,2.280266722,2.294769692,2.975568489,2.984936624,2.980502397,2.867439421,2.705853169,2.843724813
"1626272_s_at",8.320927967,8.117703005,7.965447099,7.119172727,7.561660734,7.362142832,7.634818309,7.987940031,7.966681041,7.494623165,7.277701988,7.370630146,6.932384851,7.425342476,7.247030782
"1625644_at",8.595273806,7.988649904,8.057295543,7.408854729,7.133018931,7.320478934,7.068794025,6.730940425,6.855662829,7.51703543,7.316396674,7.393975607,7.319541106,7.224703209,7.189471945
"1631193_at",4.643045305,4.426376738,4.529564464,5.006845979,4.942761811,4.7264563,4.584151817,4.903434407,4.836119523,4.892374814,5.279375925,4.885654688,4.495209194,4.888734727,4.65460221
"1638016_at",5.253620244,4.077192001,4.772559321,4.017826393,4.019868716,3.970710452,5.75237888,5.695651006,4.686525654,3.978768261,3.978960877,3.999082395,3.598434877,3.599443945,3.598434877
"1637250_at",6.72586249,6.239715236,6.941352824,7.415231786,7.339883331,7.232816193,7.165489973,7.090401163,7.057409443,6.792753467,6.606084615,7.153918666,6.508294873,7.436896762,6.670057072
"1624666_at",6.918319996,6.768210845,6.963937938,6.499659683,6.302208399,6.687569851,6.929375911,6.584368045,6.670792851,6.981870021,6.593963137,6.818686597,6.815795283,6.89025188,6.647814321
"1631526_s_at",5.018959434,5.039612138,5.124029655,4.64036565,4.592239968,4.734562765,4.925880016,5.315514394,5.149709353,4.878595658,5.011980162,5.472908103,5.007733392,4.242166326,5.028703063
"1627593_at",3.824279646,3.596570968,3.582494304,2.630901362,2.669191096,2.635776302,3.514799918,3.461728128,3.399325155,3.59459921,3.564848667,3.563573633,2.635341187,3.061180337,2.83288753
"1631735_at",2.549846143,2.603325594,2.591869115,2.378264332,2.378264332,2.378264332,3.385886678,3.371770216,3.371770216,2.57965159,2.57965159,2.888594738,2.376474709,2.376474709,2.376474709
