	GSM864362	GSM864363	GSM864364	GSM864365	GSM864366	GSM864367	GSM864368	GSM864369	GSM864370	GSM864371	GSM864372	GSM864373	GSM864374	GSM864375	GSM864376
1641702_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641703_at	8.914601886	8.9169116	8.780406977	8.969543525	9.022114331	9.00151677	8.78712578	8.962803026	9.039142444	8.954237603	8.936860885	8.98017483	8.979111498	9.008858806	9.098311122
1641704_at	9.031150804	8.951424992	8.979733214	8.956533199	8.74354642	8.982570066	9.119905732	8.991130144	8.844116729	9.159198535	9.129387019	9.095442312	8.994658254	9.103963458	9.112477223
1641705_at	2.176855445	2.176855445	2.176855445	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.176855445	2.176855445	2.176855445	2.186893924	2.186893924	2.186893924
1641706_at	2.219330298	2.211577873	2.209336227	2.196795534	2.196795534	2.196795534	2.24253582	2.279877094	2.241497782	2.211577873	2.212021484	2.211577873	2.234966734	2.23496715	2.23496715
1641707_at	10.08144214	9.934593442	9.896525509	9.875384376	9.757613261	9.946745757	9.786830368	9.811736825	9.794771405	10.04795572	9.949197095	9.980186496	9.893908697	9.960415306	10.03366089
1641708_at	6.515373842	6.389751777	6.566080817	6.46186948	6.18183707	6.441132117	5.995002264	6.168907374	6.261288819	6.48192552	6.551530203	6.666974605	6.578128008	6.450210287	6.372218931
1641709_at	2.174091872	2.174091872	2.174091872	2.177847528	2.177847528	2.177847528	2.181095643	2.181095643	2.182359322	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641710_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.175657903	2.174091872	2.179869313	2.179869313	2.179869313
1641711_at	2.174091872	2.244855779	2.174091872	2.242943856	2.277630044	2.533851088	2.19485483	2.19485483	2.19485483	2.174091872	2.174091872	2.174091872	2.222961196	2.222961196	2.222961196
1641712_at	3.247974412	3.183710858	3.305135244	3.220251198	3.223139244	3.215218771	3.523896166	3.523896166	3.523896166	3.247974412	3.247974412	3.247974412	3.315735836	3.374618866	3.364466402
1641713_a_at	9.10491176	9.210117973	9.302949964	9.066651824	8.880518108	9.248856487	8.631041837	8.713370557	8.584217277	9.021248479	9.024647074	9.318421452	9.220367551	8.960682137	9.112152097
1641714_at	8.012410252	7.931169208	7.871461303	7.876555476	7.728253203	7.880355141	7.997650202	7.715006537	7.732956679	7.914892453	7.942413983	8.016801312	7.751172338	7.712396238	7.717286911
1641715_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.202812401	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641716_x_at	2.436123989	2.175729201	2.175779345	2.239928911	2.178198463	2.179062181	2.188263229	2.200771863	2.188263229	2.43751417	2.175809432	2.17580191	2.196522225	2.196522225	2.211172333
1641717_s_at	4.053039412	4.052812632	4.005496087	3.477216741	3.542810263	3.441910794	3.648287086	3.60809833	3.671849105	4.035735776	3.873265696	4.137130085	4.322829344	4.544892948	4.255461701
1641718_at	8.998130537	9.231206331	9.05166199	9.019383548	8.932322541	9.094945722	9.087671526	8.942790367	8.893504971	9.151661612	9.191802913	9.255152284	8.989766469	9.089240763	9.132076459
1641719_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641720_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641721_a_at	12.82732855	12.86332536	12.70300357	12.90632847	12.77639284	12.84326957	12.80397742	12.7470889	12.71481693	12.82645783	12.8934472	12.94902529	12.761166	12.81808595	12.86953794
1641722_at	5.537799045	5.131918427	5.134426254	5.348951691	5.640936129	5.227082744	4.90709496	5.192450938	5.155974146	5.716513009	5.000670988	5.453764512	5.769515714	5.374082537	5.394660656
1641723_a_at	5.39930934	3.806733046	4.907060473	2.424325438	2.89348271	2.424325438	2.832536161	2.65875299	4.363605953	2.655048137	2.663390427	2.663390427	2.429521631	2.452996885	2.632286458
1641724_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641725_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641726_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641727_at	4.11762517	4.182328972	4.065384475	3.878254078	3.898926396	4.132076471	4.113724805	4.254538747	4.201248289	4.196572844	4.285079107	4.273576382	4.070513105	4.06959427	4.064834956
1641728_s_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641729_at	2.429225571	2.428877411	2.677611505	2.19865625	2.19865625	2.19865625	2.186822057	2.186822057	2.186822057	2.429180352	2.439951921	2.429180352	2.556999655	2.556999655	2.556995318
1641730_at	2.174091872	2.174091872	2.174091872	2.189628402	2.189628402	2.189628402	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641731_at	2.180162103	2.179895223	2.179895223	2.177811587	2.177811587	2.177811587	2.180955343	2.180955343	2.23051254	2.179895223	2.179895223	2.179895223	2.183817959	2.183817959	2.183817959
1641732_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641733_a_at	8.367870691	8.467940869	8.427435716	8.364487996	8.244837091	8.282428401	8.182926737	8.265867308	8.219296997	8.226177568	8.376170216	8.477041674	8.160157028	8.257655768	8.236654669
1641734_at	2.215376399	2.200636386	2.200636386	2.223815722	2.223815722	2.223815722	2.184599523	2.184599523	2.184599523	2.200636386	2.202453392	2.200636386	2.179869313	2.179869313	2.179869313
1641735_at	5.870547348	6.131876471	6.11104775	5.897563259	5.796581963	5.756049997	5.828505617	5.844987907	5.926863405	5.912347737	5.957378261	6.067668907	6.075727356	5.797693721	5.972686964
1641736_at	2.183360209	2.183360209	2.183360209	2.194158725	2.194158725	2.210074408	2.190065378	2.190065378	2.194042715	2.183360209	2.196157415	2.183360209	2.180042089	2.180042089	2.180042089
1641737_a_at	8.99453867	9.326885446	9.157723306	8.607444834	8.255566528	8.381599178	8.798233016	8.747623165	8.943423218	9.135868104	9.08237337	9.287176864	8.785995019	8.91968253	8.721593921
1641738_a_at	4.841557038	5.253873678	5.202857927	3.958347867	3.83449934	4.140603684	5.108273098	4.68057182	4.226782492	5.164442807	5.25856704	5.202857927	5.072983632	5.168363338	4.670240474
1641739_at	2.207490191	2.179317352	2.179317352	2.184241451	2.18350292	2.184176769	2.199657454	2.200579865	2.237578142	2.186083962	2.179317352	2.179317352	2.188981277	2.188995436	2.188981277
1641740_at	2.297821954	2.204359604	2.397015235	2.490566224	2.329288779	2.277889525	2.240386144	2.247867353	2.240219239	2.210505801	2.215493371	2.958019487	2.253361633	2.274545259	2.253361633
1641741_a_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.181173583	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641742_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.17461601	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641743_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.183242243	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641744_s_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
1641745_a_at	8.964909859	8.986229388	8.824351362	9.194605091	9.040712118	9.071313461	9.025499761	8.88496187	8.844586801	8.971260137	8.995041415	8.905896328	8.969361138	9.075733697	9.049394007
1641746_at	5.166022444	4.604982652	4.50062477	3.340058402	3.722839682	3.416478559	4.680321162	5.288780136	5.176953159	3.93705325	4.294760154	4.455162055	4.140318235	4.632893373	4.354236306
1641747_s_at	9.656883338	9.459050833	9.687237462	9.19925798	9.371812109	9.279023869	9.505557571	9.517154006	9.569262817	9.417386824	9.303607851	9.327271109	9.202867446	9.095138443	9.122075583
AFFX-BioB-3_at	6.821026066	6.832597432	6.954182225	6.94981061	6.937562441	7.174518703	7.141923934	7.00985562	6.904077451	7.34870326	7.401207102	6.84485067	7.310769283	7.323980481	7.57502269
AFFX-BioB-5_at	6.897847038	6.797614545	6.870490191	7.001634539	6.922985421	7.275127083	7.029841141	7.253910689	7.058971311	7.266447581	7.539007852	6.835440746	7.338160911	7.543316762	7.512022381
AFFX-BioB-M_at	7.649717148	7.599796633	7.558043249	7.773587201	7.692315259	7.869349865	7.686384848	7.688909865	7.409969215	7.947842078	7.959447554	7.420959733	7.616825139	7.881631333	7.949700346
AFFX-BioC-3_at	8.507434452	8.301850966	8.333256412	8.564560092	8.400508066	8.652337192	8.357391677	8.527837752	8.360448585	8.636976722	8.7260084	8.260331797	8.433246096	8.764800839	8.72016916
AFFX-BioC-5_at	8.386401247	8.269298721	8.352614026	8.405652135	8.422955235	8.539094046	8.350352097	8.436692122	8.303010761	8.662116628	8.705317496	8.245580702	8.45415992	8.698884767	8.714069833
AFFX-BioDn-3_at	11.48347498	11.37876445	11.35092882	11.49495682	11.39029016	11.5817151	11.56005947	11.44516601	11.33712268	11.60150634	11.66842739	11.29717637	11.46649206	11.58773893	11.67802522
AFFX-BioDn-5_at	10.67109364	10.58251836	10.62143103	10.84829618	10.70499422	10.85439929	10.50874012	10.70653116	10.59309825	10.81862623	10.90594208	10.51033646	10.59077265	10.84919835	10.8746526
AFFX-CreX-3_at	13.80419115	13.82601954	13.7376207	13.85506551	13.86963391	13.87761185	13.74896747	13.73530756	13.76744669	13.96251994	13.96577894	13.72836299	13.79656168	13.83509503	13.90843176
AFFX-CreX-5_at	13.58700826	13.56748202	13.58044744	13.6553346	13.62390394	13.72306579	13.40071863	13.5372849	13.58077019	13.74163082	13.75999201	13.45985112	13.55107112	13.64222953	13.67363893
AFFX-DapX-3_at	8.731800167	8.815743399	8.684489039	9.32121322	9.285481387	9.449858754	8.849842897	8.707273361	8.659383032	8.97614912	8.677583785	8.088030934	9.00925207	8.818214246	8.17935421
AFFX-DapX-5_at	7.51461333	7.670982687	7.461653082	8.149229933	8.071454614	8.247266486	7.377446204	7.356528529	7.365805554	7.744566882	7.422002011	6.625854744	7.676832756	7.451567618	6.92280503
AFFX-DapX-M_at	7.739188946	7.7945257	7.673225675	8.317054873	8.314780806	8.575145504	7.821519279	7.895230091	7.859991855	8.100398505	7.639547377	6.924944356	8.094292931	7.867257813	7.488434141
AFFX-Dm-AB007987_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
AFFX-Dm-AB076373-1_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
AFFX-Dm-AF117335_at	2.174091872	2.174091872	2.178394962	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
AFFX-Dm-AF168390_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.181056654
AFFX-Dm-AF292559-2_s_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.202082446	2.202167041	2.202082446	2.174091872	2.175926458	2.174091872	2.180191639	2.180191639	2.180191639
AFFX-Dm-AF292559-3_s_at	2.174091872	2.174091872	2.174091872	2.177728981	2.177728981	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.179869313
AFFX-Dm-AF292559-4_s_at	2.174091872	2.174091872	2.174091872	2.177728981	2.181789166	2.177728981	2.180955343	2.180955343	2.180955343	2.174091872	2.174091872	2.174091872	2.179869313	2.179869313	2.183408503
